Datum,Stdgang,Person,Handrücken,Fingerkuppe,Unterarm,Rücken,Handfläche
08.11.2024,HCC24,2,2,2,10,,6
08.11.2024,HCC24,3,12,2,18,,6
08.11.2024,HCC24,4,26,3,37,,15
08.11.2024,HCC24,5,21,3,39,,7
08.11.2024,HCC24,6,11,1,12,48,4
08.11.2024,HCC24,7,13,1,18,36,6
08.11.2024,HCC24,8,16,3,21,51,6
08.11.2024,HCC24,9,20,"1,5",30,42,"7,5"
08.11.2024,HCC24,10,11,3,23,42,8
08.11.2024,HCC24,1,18,2,24,42,5
08.11.2024,HCC24,2,10,"1,5",35,,
08.11.2024,HCC24,3,18,"1,5",24,,8
08.11.2024,HCC24,4,11,2,26,,
08.11.2024,HCC24,5,9,1,35,,
08.11.2024,HCC24,6,10,"2,5",40,,
08.11.2024,HCC24,7,18,2,21,,6
08.11.2024,HCC24,8,12,"0,8","0,5","0,8","0,8"
08.11.2024,HCC24,9,8,"1,2",36,13,7
06.06.2025,MBI24_Grp1,1,20,1,18,,0
06.06.2025,MBI24_Grp1,2,15,2,25,,6
06.06.2025,MBI24_Grp1,3,21,3,21,,6
06.06.2025,MBI24_Grp1,4,10,1,"8,5",,7
06.06.2025,MBI24_Grp1,5,14,2,10,,8
06.06.2025,MBI24_Grp1,6,12,3,37,,10
06.06.2025,MBI24_Grp1,7,20,3,14,,"11,5"
06.06.2025,MBI24_Grp1,8,18,1,20,26,5
06.06.2025,MBI24_Grp1,9,23,4,19,,"1,6"
06.06.2025,MBI24_Grp1,10,10,1,6,23,6
